frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
11,1.0,[59.43180465698242 964.2865600585938 1321.4461669921875 1677.0634765625],[293.07568359375 1366.855224609375 578.0597534179688 1466.052978515625],0.7253062725067139,MI399CT,0.9954382328829281
11,3.0,[1300.7108154296875 987.4127807617188 2220.147705078125 1730.79443359375],[1587.646728515625 1506.6500244140625 1892.80224609375 1609.166748046875],0.7096902132034302,MI589FN,0.9961875068311224
12,1.0,[60.33900451660156 965.4349975585938 1320.864501953125 1678.2891845703125],[293.8219299316406 1369.09033203125 577.154296875 1465.933349609375],0.7219741344451904,MI399CT,0.9881149658952467
12,3.0,[1300.37109375 988.67431640625 2220.08154296875 1732.8880615234375],[1588.2857666015625 1507.24365234375 1893.6646728515625 1609.6160888671875],0.7146655917167664,MI589FN,0.9958421063504088
12,2.0,[2352.852783203125 1002.2396240234375 3544.746826171875 1696.2117919921875],[3019.427490234375 1508.2825927734375 3307.393798828125 1598.9791259765625],0.6771491765975952,MI899FME,0.884608060548912
13,1.0,[60.84804916381836 965.523681640625 1319.0570068359375 1676.96630859375],[291.7997131347656 1369.73486328125 577.193359375 1465.377685546875],0.7221484184265137,MI399CT,0.9629802788701851
13,3.0,[1300.6683349609375 989.2802124023438 2220.177490234375 1730.563232421875],[1588.97021484375 1508.4598388671875 1894.60546875 1608.8865966796875],0.7086272239685059,MI589FN,0.9831039406868904
13,2.0,[2353.70556640625 1002.4773559570312 3545.43505859375 1696.795166015625],[3018.48974609375 1505.731689453125 3309.589599609375 1593.490966796875],0.6710439920425415,MI899FM,0.9718868072256494
14,1.0,[60.91450119018555 964.5409545898438 1317.6597900390625 1675.7060546875],[290.15582275390625 1369.50244140625 578.6611328125 1466.012939453125],0.7238335013389587,MI399CT,0.9910218586590179
14,3.0,[1300.72607421875 990.3433227539062 2220.138427734375 1730.63427734375],[1588.6153564453125 1508.570556640625 1895.9893798828125 1608.84619140625],0.7037793397903442,MI58SFN,0.8429100846628574
15,1.0,[60.68294906616211 964.0863037109375 1317.585205078125 1675.3851318359375],[289.6749572753906 1369.2491455078125 579.5809326171875 1466.03564453125],0.724304735660553,MI399CT,0.9970129097136151
15,3.0,[1300.5648193359375 991.466552734375 2220.71630859375 1730.03955078125],[1588.294189453125 1509.52001953125 1895.178955078125 1609.27294921875],0.7050198316574097,MI589FN,0.99723926041528
16,1.0,[60.547157287597656 965.0130004882812 1317.21533203125 1679.1439208984375],[290.365478515625 1369.033447265625 580.8349609375 1466.200927734375],0.7253474593162537,MI399CT,0.9921351409555403
17,1.0,[60.35066604614258 965.8158569335938 1316.57275390625 1681.7796630859375],[291.72314453125 1370.420166015625 582.0226440429688 1467.3037109375],0.7205381393432617,MI399C1,0.8478079397928252
17,3.0,[1298.5987548828125 991.416259765625 2220.32275390625 1731.407958984375],[1592.1112060546875 1511.4012451171875 1894.4124755859375 1610.7879638671875],0.715772807598114,MI589FN,0.9967954729432983
18,1.0,[60.51913070678711 966.2664184570312 1315.4852294921875 1682.4134521484375],[293.1712646484375 1371.111328125 579.818603515625 1469.756103515625],0.7199910879135132,MI399CT,0.9941428728017518
19,3.0,[1296.89306640625 991.2559814453125 2220.018798828125 1730.607177734375],[1591.4461669921875 1510.6014404296875 1897.2242431640625 1613.5953369140625],0.7274816632270813,MI589FN,0.9990961172528441
19,1.0,[60.56295394897461 967.0348510742188 1315.6353759765625 1684.8260498046875],[295.6187438964844 1371.7093505859375 582.076171875 1469.4100341796875],0.7187985777854919,MI399CT,0.991843090798608
20,3.0,[1296.651123046875 991.6920166015625 2219.885986328125 1732.5977783203125],[1589.96923828125 1510.535888671875 1897.12353515625 1613.3045654296875],0.7230337858200073,MI589FN,0.9923223727410603
20,1.0,[60.20013427734375 968.265380859375 1316.6966552734375 1685.9801025390625],[296.1133728027344 1369.686767578125 581.7442016601562 1467.58642578125],0.7159867286682129,MI399CT,0.9818621926393375
21,3.0,[1297.687255859375 992.7199096679688 2220.326171875 1731.6046142578125],[1588.541748046875 1511.2877197265625 1894.683837890625 1611.3878173828125],0.7218440771102905,MI589FN,0.8776660491855581
21,1.0,[59.87467575073242 969.1972045898438 1317.41845703125 1686.57666015625],[295.15264892578125 1372.4776611328125 585.5289306640625 1467.9012451171875],0.7181563377380371,MI399CT,0.9925443710431139
21,2.0,[2352.83154296875 1006.6512451171875 3549.48291015625 1699.366455078125],[3020.56396484375 1515.3131103515625 3304.14501953125 1601.3265380859375],0.6205030679702759,MII899FM,0.5747862972243618
22,3.0,[1299.26171875 994.0009155273438 2220.364501953125 1732.4139404296875],[1588.0916748046875 1512.97412109375 1894.5985107421875 1614.0369873046875],0.7370689511299133,MI589FN,0.9965553771753476
22,1.0,[60.09371566772461 970.5792236328125 1317.076171875 1686.979736328125],[293.5062255859375 1371.39501953125 586.4954833984375 1469.8319091796875],0.7229880094528198,MI399CT,0.9829024014219312
23,1.0,[60.4654426574707 971.3016357421875 1316.5782470703125 1687.7606201171875],[286.9436340332031 1370.2342529296875 583.2192993164062 1467.7421875],0.7240379452705383,MI399CT,0.9886482851384092
24,3.0,[1300.2891845703125 995.6207275390625 2220.916748046875 1734.333251953125],[1586.611083984375 1515.34228515625 1897.265625 1618.406005859375],0.7406725287437439,MI589FN,0.9965360712751594
24,1.0,[60.17073059082031 971.67578125 1317.297607421875 1686.8900146484375],[286.7568359375 1371.744873046875 581.0634765625 1467.538330078125],0.7237804532051086,MI399CT,0.750921274587114
25,3.0,[1299.681640625 998.3702392578125 2221.37158203125 1736.0618896484375],[1584.796875 1515.8741455078125 1898.18115234375 1618.6318359375],0.7346123456954956,MI589FN,0.9960053823744776
25,1.0,[60.156524658203125 971.3860473632812 1318.8958740234375 1685.801513671875],[290.8006896972656 1373.224853515625 580.580322265625 1467.3951416015625],0.729736864566803,MI399CT,0.9903433721703288
